player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ODgoofyahhh",aLzuV5BI-s,2023-10-16T01:53:38.059Z,2023-10-16T01:57:08.090Z,1000,0,0,-1000
"nnoah",zdVhbI3D5i,2023-10-16T01:48:26.393Z,,1000,,2089,1089
"Chong",-HxDqwL99V,2023-10-16T01:48:26.391Z,,2000,,4128,2128
"Chong",-HxDqwL99V,2023-10-16T01:43:07.159Z,2023-10-16T01:46:28.440Z,1000,0,0,-1000
"ODgoofyahhh",aLzuV5BI-s,2023-10-16T01:42:07.290Z,2023-10-16T01:52:46.915Z,1000,0,0,-1000
"Chong",-HxDqwL99V,2023-10-16T01:33:30.182Z,2023-10-16T01:42:07.286Z,1000,0,0,-1000
"ODgoofyahhh",aLzuV5BI-s,2023-10-16T01:31:50.946Z,2023-10-16T01:40:39.273Z,1000,0,0,-1000
"Bader",bEdC45LIvc,2023-10-16T01:31:50.948Z,2023-10-16T02:20:31.258Z,1000,837,0,-163
"Chun",-6-yYmPWx-,2023-10-16T01:31:50.950Z,,1000,,3263,2263
"cito",ug0-CrzeER,2023-10-16T01:31:50.944Z,,1000,,683,-317
